open,high,low,close,volume,closeTime
0.19942,0.1998,0.19936,0.19953,115648,1759116779999
0.19953,0.19992,0.19921,0.1993,116697,1759116839999
0.1993,0.20058,0.19926,0.2004,157947,1759116899999
0.20038,0.20356,0.20034,0.2022,675805,1759116959999
0.2022,0.20281,0.20122,0.20181,485054,1759117019999
0.20181,0.20202,0.20088,0.20088,130158,1759117079999
0.20096,0.2012,0.19779,0.199,536074,1759117139999
0.19913,0.19943,0.19787,0.19819,463515,1759117199999
0.19809,0.19862,0.19809,0.19844,129022,1759117259999
0.19845,0.19915,0.198,0.19832,161931,1759117319999
0.19833,0.19862,0.1978,0.1982,246111,1759117379999
0.19827,0.19852,0.19785,0.19815,57690,1759117439999
0.19822,0.19836,0.19791,0.1981,63265,1759117499999
0.19818,0.19833,0.19689,0.19751,319700,1759117559999
0.19746,0.1978,0.19611,0.19755,445703,1759117619999
0.19754,0.19785,0.19729,0.19784,115563,1759117679999
0.19785,0.19838,0.19778,0.19821,162795,1759117739999
0.19831,0.19894,0.1983,0.19892,108035,1759117799999
0.19885,0.202,0.19885,0.20085,537453,1759117859999
0.20082,0.20116,0.20049,0.20079,203782,1759117919999
0.20077,0.20087,0.20032,0.2008,85068,1759117979999
0.20077,0.20105,0.20028,0.20046,77325,1759118039999
0.20041,0.2012,0.20011,0.20064,228564,1759118099999
0.20067,0.20137,0.20057,0.20126,112908,1759118159999
0.20127,0.20132,0.2008,0.2012,64827,1759118219999
0.20122,0.20174,0.20078,0.20159,83706,1759118279999
0.20166,0.20224,0.20159,0.20206,226968,1759118339999
0.20193,0.20199,0.2002,0.20119,225265,1759118399999
0.2012,0.20171,0.20076,0.20152,388687,1759118459999
0.20152,0.20234,0.20089,0.20234,212640,1759118519999
0.20226,0.2041,0.2019,0.20402,567233,1759118579999
0.20393,0.20393,0.20209,0.20226,438357,1759118639999
0.20221,0.20244,0.19847,0.20043,841064,1759118699999
0.20035,0.20077,0.19916,0.19981,379306,1759118759999
0.19983,0.20011,0.19956,0.19969,130506,1759118819999
0.19964,0.19993,0.19924,0.19972,101008,1759118879999
0.19973,0.20027,0.19957,0.19958,138478,1759118939999
0.19958,0.19997,0.19929,0.19949,98169,1759118999999
0.19958,0.20052,0.19956,0.20047,152176,1759119059999
0.20048,0.20266,0.20044,0.20159,315596,1759119119999
0.20156,0.20372,0.20143,0.20333,309235,1759119179999
0.20326,0.20345,0.20254,0.20301,449445,1759119239999
0.20298,0.20343,0.20272,0.20296,133238,1759119299999
0.20295,0.20379,0.2015,0.20259,464742,1759119359999
0.20257,0.20279,0.20112,0.20184,318523,1759119419999
0.20185,0.2021,0.20109,0.20118,118702,1759119479999
